GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Visiting-SUSTech,com.sustech.cs304.visitingsustech.interceptor,JwtInterceptor,50,3,0,0,18,1,1,1,1,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.exception,AppointmentException,15,5,0,0,6,2,3,1,3,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.exception,BaseException,22,7,0,0,10,3,4,1,4,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.exception,UpdateUserInfoException,20,0,0,0,8,0,4,0,4,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.exception,TokenException,20,0,0,0,8,0,4,0,4,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.common,JsonResult,249,0,24,0,34,0,37,0,25,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech,VisitingSusTechApplication,5,3,0,0,2,1,1,1,1,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,WxLoginController,100,8,6,0,27,2,4,2,1,2
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,ForumController,196,3,8,0,39,1,6,1,2,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,ImageController,70,3,4,0,14,1,3,1,1,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,AppointmentController,192,3,12,0,42,1,11,1,5,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,ForumResourceController,97,3,6,0,20,1,4,1,1,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,ForumLikeController,59,3,2,0,14,1,3,1,2,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,NewsController,69,3,6,0,16,1,5,1,2,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,CommentController,59,3,2,0,14,1,3,1,2,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.controller,UserController,139,3,10,0,31,1,8,1,3,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.vo,AppointmentVo,315,0,62,0,8,0,50,0,19,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.vo,CommentVo,115,0,22,0,3,0,20,0,9,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.vo,UserInfoVo,197,38,46,0,0,6,27,11,4,11
Visiting-SUSTech,com.sustech.cs304.visitingsustech.vo,ForumVo,155,0,30,0,4,0,26,0,11,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.vo,NewsVo,155,0,30,0,4,0,26,0,11,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,ForumResourceServiceImpl,6,88,1,5,1,19,1,6,0,4
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,NewsServiceImpl,18,3,2,0,3,1,3,1,2,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,ForumServiceImpl,18,60,2,4,2,12,2,5,0,4
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,AppointmentServiceImpl,76,127,17,15,10,24,15,6,0,5
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,UserServiceImpl,10,63,2,2,2,16,2,5,0,5
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,ForumLikeServiceImpl,24,101,4,6,4,21,4,5,0,4
Visiting-SUSTech,com.sustech.cs304.visitingsustech.service.impl,CommentServiceImpl,15,109,2,8,2,23,2,7,0,4
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,ForumLikeEntity,154,41,38,0,0,5,22,10,3,10
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,ForumEntity,185,50,46,0,0,6,26,12,3,12
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,CommentEntity,154,41,38,0,0,5,22,10,3,10
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,NewsEntity,275,0,54,0,7,0,44,0,17,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,TotalForum,395,0,78,0,10,0,62,0,23,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,AppointmentEntity,375,100,94,0,0,12,51,23,4,23
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,ForumResourceEntity,123,32,30,0,0,4,18,8,3,8
Visiting-SUSTech,com.sustech.cs304.visitingsustech.entity,UserInfoEntity,278,77,70,0,0,9,38,18,3,18
Visiting-SUSTech,com.sustech.cs304.visitingsustech.util,UserInfoUtil,52,0,0,0,12,0,4,0,4,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.util,IdCardValidator,7,177,4,6,3,13,5,3,1,2
Visiting-SUSTech,com.sustech.cs304.visitingsustech.util,JwtUtil,285,283,34,0,25,6,34,1,17,1
Visiting-SUSTech,com.sustech.cs304.visitingsustech.util,EncryptUtil,207,0,12,0,49,0,16,0,10,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.util,HttpClientUtil,215,0,18,0,68,0,14,0,5,0
Visiting-SUSTech,com.sustech.cs304.visitingsustech.config,ImgConfig,0,22,0,0,0,4,0,2,0,2
Visiting-SUSTech,com.sustech.cs304.visitingsustech.config,InterceptorConfig,0,27,0,0,0,6,0,3,0,3
